time,open,high,low,close,tick_volume,spread,real_volume
2021-09-24 15:30:00+00:00,1.17242,1.17246,1.17147,1.17161,714,2,0
2021-09-24 16:00:00+00:00,1.17161,1.17201,1.17141,1.17184,476,2,0
2021-09-24 16:30:00+00:00,1.17185,1.17187,1.1716199999999999,1.17176,424,2,0
2021-09-24 17:00:00+00:00,1.17176,1.17181,1.1713,1.17164,497,2,0
2021-09-24 17:30:00+00:00,1.17164,1.17166,1.17143,1.17158,393,2,0
2021-09-24 18:00:00+00:00,1.17159,1.17168,1.17139,1.17166,333,2,0
2021-09-24 18:30:00+00:00,1.17166,1.17168,1.17148,1.1716199999999999,274,2,0
2021-09-24 19:00:00+00:00,1.17163,1.17218,1.17154,1.17209,267,2,0
2021-09-24 19:30:00+00:00,1.17209,1.1722299999999999,1.17191,1.17203,414,2,0
2021-09-26 21:00:00+00:00,1.17184,1.17208,1.17177,1.17203,164,2,0
2021-09-26 21:30:00+00:00,1.17203,1.17214,1.17193,1.17202,157,2,0
2021-09-26 22:00:00+00:00,1.17204,1.17206,1.17175,1.17201,135,2,0
2021-09-26 22:30:00+00:00,1.17201,1.17239,1.17185,1.17225,205,2,0
2021-09-26 23:00:00+00:00,1.17225,1.17238,1.1718600000000001,1.17202,667,2,0
2021-09-26 23:30:00+00:00,1.17202,1.1722299999999999,1.17166,1.17172,503,2,0
2021-09-27 00:00:00+00:00,1.17172,1.1724,1.17166,1.17231,671,2,0
2021-09-27 00:30:00+00:00,1.17231,1.1724999999999999,1.17224,1.17239,506,2,0
2021-09-27 01:00:00+00:00,1.17239,1.17249,1.1718600000000001,1.17191,409,2,0
2021-09-27 01:30:00+00:00,1.17192,1.17219,1.17185,1.17187,349,2,0
2021-09-27 02:00:00+00:00,1.17187,1.17237,1.17183,1.17227,280,2,0
2021-09-27 02:30:00+00:00,1.17227,1.1724700000000001,1.17215,1.1722299999999999,260,2,0
2021-09-27 03:00:00+00:00,1.17222,1.17248,1.17221,1.1724,227,2,0
2021-09-27 03:30:00+00:00,1.17241,1.17242,1.1721300000000001,1.17222,156,2,0
2021-09-27 04:00:00+00:00,1.1722299999999999,1.17242,1.17215,1.1723,304,2,0
2021-09-27 04:30:00+00:00,1.17229,1.17242,1.17197,1.17202,542,2,0
2021-09-27 05:00:00+00:00,1.17204,1.17229,1.17138,1.17142,1131,2,0
2021-09-27 05:30:00+00:00,1.17141,1.17203,1.17106,1.17106,1165,2,0
2021-09-27 06:00:00+00:00,1.17106,1.17143,1.17024,1.17141,1387,2,0
2021-09-27 06:30:00+00:00,1.1714,1.17145,1.16941,1.1694499999999999,1352,2,0
2021-09-27 07:00:00+00:00,1.1694499999999999,1.1698,1.16903,1.16921,1385,2,0
2021-09-27 07:30:00+00:00,1.16921,1.16949,1.16848,1.16893,1467,2,0
2021-09-27 08:00:00+00:00,1.16893,1.1699,1.16891,1.16953,1197,2,0
2021-09-27 08:30:00+00:00,1.16954,1.17007,1.16946,1.16966,1315,2,0
2021-09-27 09:00:00+00:00,1.16966,1.17023,1.16942,1.1701,1030,2,0
2021-09-27 09:30:00+00:00,1.1701,1.17082,1.17003,1.17075,914,2,0
2021-09-27 10:00:00+00:00,1.17075,1.17105,1.16962,1.1696900000000001,1252,2,0
2021-09-27 10:30:00+00:00,1.1696900000000001,1.16986,1.16892,1.1691799999999999,1167,2,0
2021-09-27 11:00:00+00:00,1.1691799999999999,1.17011,1.1691799999999999,1.16949,1755,2,0
2021-09-27 11:30:00+00:00,1.16949,1.17092,1.16911,1.17072,2372,2,0
2021-09-27 12:00:00+00:00,1.17072,1.17072,1.16955,1.16968,1714,2,0
2021-09-27 12:30:00+00:00,1.16968,1.17038,1.16907,1.1702,2139,2,0
2021-09-27 13:00:00+00:00,1.1702,1.17097,1.16987,1.17049,1751,2,0
2021-09-27 13:30:00+00:00,1.17048,1.17051,1.16968,1.16998,1503,2,0
2021-09-27 14:00:00+00:00,1.16997,1.17054,1.16971,1.16976,1426,2,0
2021-09-27 14:30:00+00:00,1.1697899999999999,1.17031,1.16968,1.17014,1206,2,0
2021-09-27 15:00:00+00:00,1.17014,1.17055,1.16998,1.17053,670,2,0
2021-09-27 15:30:00+00:00,1.17053,1.17075,1.17008,1.17021,679,2,0
2021-09-27 16:00:00+00:00,1.17019,1.1705,1.17009,1.17044,724,2,0
2021-09-27 16:30:00+00:00,1.17045,1.17056,1.17003,1.17043,478,2,0
2021-09-27 17:00:00+00:00,1.17044,1.17082,1.17044,1.17079,449,2,0
2021-09-27 17:30:00+00:00,1.17078,1.1708,1.1699,1.16991,470,2,0
2021-09-27 18:00:00+00:00,1.16991,1.17005,1.16977,1.1697899999999999,293,2,0
2021-09-27 18:30:00+00:00,1.1697899999999999,1.16991,1.16967,1.16983,392,2,0
2021-09-27 19:00:00+00:00,1.16981,1.17001,1.1696900000000001,1.16992,273,2,0
2021-09-27 19:30:00+00:00,1.1697899999999999,1.16994,1.16942,1.16953,408,2,0
2021-09-27 20:00:00+00:00,1.16957,1.1696900000000001,1.16923,1.16957,76,9,0
2021-09-27 20:30:00+00:00,1.16957,1.1698,1.1695,1.16957,104,6,0
2021-09-27 21:00:00+00:00,1.1696,1.16978,1.16951,1.16961,169,2,0
2021-09-27 21:30:00+00:00,1.1696,1.1697,1.16949,1.16955,131,2,0
2021-09-27 22:00:00+00:00,1.16954,1.16957,1.16939,1.16939,104,2,0
2021-09-27 22:30:00+00:00,1.16939,1.16962,1.16939,1.16955,146,2,0
2021-09-27 23:00:00+00:00,1.16955,1.16967,1.16933,1.1693500000000001,361,2,0
2021-09-27 23:30:00+00:00,1.1693500000000001,1.1693500000000001,1.1686,1.16886,477,2,0
2021-09-28 00:00:00+00:00,1.16891,1.16892,1.16849,1.16865,463,2,0
2021-09-28 00:30:00+00:00,1.16863,1.16877,1.16854,1.16876,302,2,0
2021-09-28 01:00:00+00:00,1.16875,1.1691799999999999,1.16875,1.16906,401,2,0
2021-09-28 01:30:00+00:00,1.16905,1.16938,1.16875,1.16932,582,2,0
2021-09-28 02:00:00+00:00,1.16932,1.16947,1.16912,1.16916,297,2,0
