,date,open,high,low,close,tick_volume,spread,real_volume
6932,4/11/2017 19:30,14131,14214,14120,14200,1221,0,0
6933,4/11/2017 18:30,14085,14145,14073,14132,1337,0,0
6934,4/11/2017 17:30,14092,14128,14004,14087,1545,0,0
6935,4/11/2017 16:30,14293,14331,14057,14093,1554,0,0
6936,4/10/2017 22:30,14318,14328,14291,14311,406,0,0
6937,4/10/2017 21:30,14318,14345,14310,14318,980,0,0
6938,4/10/2017 20:30,14366,14374,14316,14318,841,0,0
6939,4/10/2017 19:30,14324,14372,14320,14365,936,0,0
6940,4/10/2017 18:30,14350,14352,14305,14324,1036,0,0
6941,4/10/2017 17:30,14343,14367,14343,14350,983,0,0
6942,4/10/2017 16:30,14351,14384,14339,14342,1180,0,0
6943,4/7/2017 22:30,14362,14364,14331,14335,433,0,0
6944,4/7/2017 21:30,14376,14383,14355,14361,820,0,0
6945,4/7/2017 20:30,14394,14401,14375,14379,899,0,0
6946,4/7/2017 19:30,14390,14401,14372,14393,875,0,0
6947,4/7/2017 18:30,14377,14391,14355,14387,1031,0,0
6948,4/7/2017 17:30,14386,14408,14361,14375,1191,0,0
6949,4/7/2017 16:30,14375,14416,14327,14384,1456,0,0
6950,4/6/2017 22:30,14363,14386,14346,14367,685,0,0
6951,4/6/2017 21:30,14387,14402,14351,14363,1266,0,0
6952,4/6/2017 20:30,14421,14441,14384,14389,1105,0,0
6953,4/6/2017 19:30,14405,14429,14381,14420,1059,0,0
6954,4/6/2017 18:30,14433,14435,14383,14404,1097,0,0
6955,4/6/2017 17:30,14404,14436,14377,14433,1294,0,0
6956,4/6/2017 16:30,14436,14449,14347,14402,1637,0,0
6957,4/5/2017 22:30,14437,14437,14381,14402,897,0,0
6958,4/5/2017 21:30,14527,14533,14403,14439,1480,0,0
6959,4/5/2017 20:30,14526,14545,14515,14527,1022,0,0
6960,4/5/2017 19:30,14518,14543,14512,14525,680,0,0
6961,4/5/2017 18:30,14489,14544,14482,14518,926,0,0
6962,4/5/2017 17:30,14503,14538,14485,14489,1086,0,0
6963,4/5/2017 16:30,14449,14516,14432,14503,1221,0,0
6964,4/4/2017 22:30,14463,14485,14463,14477,315,0,0
6965,4/4/2017 21:30,14469,14488,14452,14462,822,0,0
6966,4/4/2017 20:30,14423,14483,14423,14469,710,0,0
6967,4/4/2017 19:30,14430,14434,14402,14423,860,0,0
6968,4/4/2017 18:30,14432,14447,14412,14431,951,0,0
6969,4/4/2017 17:30,14407,14447,14389,14431,1011,0,0
6970,4/4/2017 16:30,14326,14406,14321,14406,1186,0,0
6971,4/3/2017 22:30,14380,14386,14366,14369,372,0,0
6972,4/3/2017 21:30,14360,14389,14355,14383,799,0,0
6973,4/3/2017 20:30,14363,14364,14335,14360,925,0,0
6974,4/3/2017 19:30,14351,14370,14343,14363,919,0,0
6975,4/3/2017 18:30,14361,14365,14305,14353,1148,0,0
6976,4/3/2017 17:30,14397,14402,14325,14360,1164,0,0
6977,4/3/2017 16:30,14366,14411,14352,14399,1251,0,0
6978,3/31/2017 22:30,14384,14404,14365,14365,378,0,0
6979,3/31/2017 21:30,14365,14390,14362,14385,483,0,0
6980,3/31/2017 20:30,14407,14411,14350,14366,842,0,0
6981,3/31/2017 19:30,14397,14407,14391,14406,548,0,0
6982,3/31/2017 18:30,14391,14408,14380,14397,700,0,0
6983,3/31/2017 17:30,14398,14416,14376,14390,820,0,0
6984,3/31/2017 16:30,14327,14426,14306,14397,1019,0,0
6985,3/30/2017 22:30,14380,14397,14372,14393,258,0,0
6986,3/30/2017 21:30,14397,14400,14367,14382,596,0,0
6987,3/30/2017 20:30,14397,14413,14385,14396,737,0,0
6988,3/30/2017 19:30,14383,14412,14350,14395,904,0,0
6989,3/30/2017 18:30,14407,14420,14359,14384,886,0,0
6990,3/30/2017 17:30,14426,14427,14394,14406,854,0,0
6991,3/30/2017 16:30,14413,14448,14389,14425,1140,0,0
6992,3/29/2017 22:30,14434,14437,14399,14410,327,0,0
6993,3/29/2017 21:30,14440,14447,14424,14433,762,0,0
6994,3/29/2017 20:30,14385,14439,14382,14439,835,0,0
6995,3/29/2017 19:30,14373,14388,14351,14385,805,0,0
6996,3/29/2017 18:30,14355,14380,14327,14372,836,0,0
6997,3/29/2017 17:30,14358,14384,14342,14355,920,0,0
6998,3/29/2017 16:30,14350,14419,14320,14356,1130,0,0
6999,3/28/2017 22:30,14390,14399,14379,14379,369,0,0
7000,3/28/2017 21:30,14384,14402,14372,14390,946,0,0
7001,3/28/2017 20:30,14317,14402,14312,14384,987,0,0
7002,3/28/2017 19:30,14282,14317,14262,14317,942,0,0
7003,3/28/2017 18:30,14225,14287,14225,14281,974,0,0
7004,3/28/2017 17:30,14136,14246,14132,14223,983,0,0
7005,3/28/2017 16:30,14069,14149,14062,14135,1164,0,0
7006,3/27/2017 22:30,14091,14114,14079,14088,385,0,0
7007,3/27/2017 21:30,14077,14110,14076,14090,578,0,0
7008,3/27/2017 20:30,14106,14113,14070,14078,603,0,0
7009,3/27/2017 19:30,14079,14121,14068,14105,620,0,0
7010,3/27/2017 18:30,14046,14083,14031,14081,787,0,0
